品牌,商品名稱,月份,分數,內容
LANCÔME 蘭蔻,超極限肌因撫紋眼霜,2025/05,4,當初看到網路介紹很吸引我 在官網留個人資料申請試用包 但是現在母親節檔期前 專櫃人員說：無法兌換沒想到2025年3月29日 參加@cosme春季網友聚會時 中場休息時間有機會可以試用 LANCÔME 蘭蔻 超極限肌因撫紋眼霜 20ml 定價 $ 3000 元銀色瓶蓋與白色防塵蓋都有玫瑰花浮雕 黑色光滑
LANCÔME 蘭蔻,超極限肌因撫紋眼霜,2025/05,6,在@cosme夏季交流會上試用到這款產品 是2025台灣新秀賞 眼霜排行榜 NO. 1其實自己也關注這瓶眼霜很久了 只是家裡八國聯軍還沒用完 不能隨意補貨 不然聯軍們就要過期啦😂😂~~ 產品質地如下抹開來會呈現水感 延展力很好 接著拍一拍就吸收了 而且吸收後不會黏膩真的是很舒服的一款眼部產品 真的
LANCÔME 蘭蔻,超極限肌因撫紋眼霜,2025/05,5,首先要先感謝「cosme」及「蘭蔻」，提供此抽獎活動讓我有機會搶先體驗新產品，本人深感榮幸💖💖 先附上產品圖片啦～Cosme提供的是5ml的小黑眼霜，另外三包是我在母檔靠櫃肌膚檢測拿到的～［官方敘述］ ➤ 眼膜級撫紋！添加超極限家族明星醫學級β-葡聚醣成分，並以微分子型態針對眼周深入密集抗老，實證使
LANCÔME 蘭蔻,超極限肌因撫紋眼霜,2025/05,(淺層體驗),百貨週年慶在專櫃購物時試試～ 買東西櫃姐送的試用包～質地是白色無流動性的凝霜狀，氣味是肌因系列的氣味，不香，但用久會習慣的氣味，取適量塗抹眼周，好推勻，保濕度佳，溫和不刺激，完全不會熏眼，吸收也快，碰到乳霜也不會搓泥起屑，新版質地感受和舊版比，個人覺得新版有變得更容易吸收，有獨家水凝膜質地，和加了小黑
LANCÔME 蘭蔻,超極限肌因撫紋眼霜,2025/05,4,以前就使用過小黑眼霜 這次很開心有機會體驗小黑眼霜的升級版 身為踏入30大關的女子來說眼周保養勢必是重要的一件事 從25開始就有擦眼霜保養的習慣 用過的眼霜也不少 主要訴求是保濕跟減緩眼周老化 已經使用含維生素A衍生物的抗老眼霜超過兩年時間 眼周狀況還可以 但妝後仍會有些微細紋及乾紋跑出來 希望
LANCÔME 蘭蔻,超極限肌因撫紋眼霜,2025/05,7,這次收到蘭蔻的『超極限肌因撫紋眼霜』新品試用，之前沒有用過他們家的眼霜所以非常期待唷！ 同為蘭蔻家的招牌明星商品 小黑眼霜pro 這次主打水凝膜質地，除了可以薄擦按摩之外也能夠厚敷當作晚安眼膜使用，讓我們看下去吧！ 打開罐子時是白色乳霜狀，質地偏稠的感覺 在手上的感覺跟一般乳霜比沒那麼厚重，就是如其名
LANCÔME 蘭蔻,超極限肌因撫紋眼霜,2025/05,5,感謝ur提供試用！ 昨晚下班回家不小心就睡著了，遲到了一下下😝 先上照片... 質地是濃厚的，但好家在不是我害怕的濃郁香味😅 （推開前手上乾紋明顯）雖然質地濃厚，但延展性不錯，不會難推（推開後，乾紋被撫平）整體感受： 對於眼下比較深的紋路，這兩周並沒有明顯感受到效果，要繼續使用一段時間看看，但對於眼下
LANCÔME 蘭蔻,超極限肌因撫紋眼霜,2025/05,6,很開心能夠獲得蘭蔻超極限肌因撫紋眼霜的體驗機會 這款眼霜質地是屬於濃稠型的乳霜感塗抹時延展性不錯，很輕鬆就可以推開且吸收速度蠻快的，且還帶著淡淡的香味，擦完後也不會有黏膩或厚重的感覺。 塗上時有帶著微微的緊緻感，也有一層薄膜鎖住在肌膚上的感覺。 持續使用一段時間後，感覺眼周肌膚細紋有變得較為淡些，肌膚
LANCÔME 蘭蔻,超極限肌因撫紋眼霜,2025/05,7,很高興收到 LANCÔME 蘭蔻 & @cosme 邀請，試用體驗。 # 眼周抗老 # 水凝膜 🌟使用方式： 拿底妝刮棒挖一點點，點在眼下，用手指按摩推開，來回幾遍。 水凝膜的質地有保濕力，可是感覺不會黏膩 ! - ✨ 味道：有一個淡淡的香料味，味道不重，覺得很ok
LANCÔME 蘭蔻,超極限肌因撫紋眼霜,2025/05,6,感謝這次讓我抽中 蘭蔻的「超極限肌因撫紋眼霜」別名又稱「小黑眼霜PRO」， 蘭蔻的商品只使用過知名的小黑瓶來穩膚，使用上真的有感， 眼霜類的一直覺得自己年紀還沒到就沒嘗試過， 但以目前快要奔四的年齡來說，剛剛好是一個可以考慮跳級的階段XD標題主打「眼膜級撫紋」 實際使用感受上，抹在眼周下方的厚實手
